# Note names need to exactly match baseball reference
Last Name, First Name, B - for Batter or P - for Pitcher
Andujar, Miguel, B
Butler, Lawrence, B
Correa, Carlos, B
Davis, J.D., B
Diaz, Jordan, B
Grissom, Vaughn, B
Kepler, Max, B
Knizner, Andrew, B
Mejia, Francisco, B
Naylor, Bo, B
O'Neill, Tyler, B
Pederson, Joc, B
Ramírez, José, B
Reynolds, Bryan, B
Rivas III, Alfonso, B
Rortvedt, Ben, B
Schneider, Davis, B
Singleton, Jon, B
Smith, Pavin, B
Stefanic, Michael, B
Torrens, Luis, B
Wade, Tyler, B
Winker, Jesse, B
Alcántara, Sandy, P
Akin, Keegan, P
Bido, Osvaldo, P
Buehler, Walker, P
Burnes, Corbin, P
De Los Santos, Enyel, P
De Los Santos, Yerry, P
Diekman, Jake, P
Feyereisen, J.P., P
García, Yimi, P
Glasnow, Tyler, P
Hendriks, Liam, P
Hernández, Carlos, P
Kelly, Kevin, P
Lorenzen, Michael, P
Peguero, Elvis, P
Pepiot, Ryan, P
Rea, Colin, P
Uceta, Edwin , P
